address, lat, lng
State Opera House Vienna, 48.2032545, 16.36917410000001
St. Peter's Church Vienna, 48.2094215, 16.370014800000035
Imperial Treasury of Vienna Vienna, 48.2069987, 16.36613280000006
MuseumsQuartier Wien Vienna, 48.2033369, 16.358616600000005
Leopold Museum Vienna, 48.2026499, 16.359142099999985
Kahlenberg Vienna, 48.27634330000001, 16.333284999999933
Volksgarten Vienna, 48.20726, 16.362474099999986
Rathaus Vienna, 48.2108685, 16.357248600000048
Tiergarten Schoenbrunn - Zoo Vienna Vienna, 48.18208629999999, 16.30278450000003
The Vienna Philharmonic Vienna, 48.2014505, 16.372068300000024
Central Cemetery (Zentralfriedhof) Vienna, 48.1480952, 16.44169260000001
Schonbrunner Gardens Vienna, 48.1858124, 16.312764000000016
Albertina Vienna, 48.2046992, 16.368182400000023
Natural History Museum (Naturhistorisches Museum) Vienna, 48.205212, 16.35984510000003
Rathausplatz Vienna, 48.2106286, 16.35877759999994
Church of the Jesuits Vienna, 48.2090405, 16.377684899999963
State Hall of the Austrian National Library Vienna, 48.2062928, 16.366860900000006
Vienna U-Bahn Vienna, 48.210716, 16.22180130000004
Kirche am Steinhof Vienna, 48.21062250000001, 16.278752499999996
The Third Man Museum Vienna, 48.1960993, 16.3624638
Kunsthistorisches Museum Vienna, 48.2038016, 16.361787400000026
St. Stephen's Cathedral Vienna, 48.2084114, 16.373470699999984
Belvedere Palace Museum Vienna, 48.1915585, 16.38095469999996
Imperial Palace (Hofburg) Vienna, 48.2076579, 16.36605380000003
Schonbrunn Palace Vienna, 48.1858124, 16.312764000000016
Historic Center of Vienna Vienna, 48.2081743, 16.37381890000006
Ringstrasse Vienna, 48.407653, 15.597141400000055
Karlskirche Vienna, 48.1982453, 16.371828400000027
Christmas Market on Rathausplatz Vienna, 48.2107384, 16.358306699999957
Parliament Building Vienna, 48.20808840000001, 16.358608300000014
Imperial Carriage Museum Vienna Vienna, 48.1863502, 16.309461499999998
Graben and Kohlmarkt Vienna, 48.2094455, 16.368542299999945
Stephansplatz Vienna, 48.2089816, 16.373213299999975
Museum of Military History Vienna, 48.1842718, 16.388935700000047
Maria-Theresien-Platz Vienna, 48.2044347, 16.36065910000002
Technisches Museum Vienna, 48.19092759999999, 16.318101299999967
Musikverein Vienna, 48.200494, 16.37277949999998
Minoritenkirche Vienna, 48.2095481, 16.363814400000024
Kunst Haus Wien - Museum Hundertwasser Vienna, 48.211074, 16.39328599999999
Kapuziner Crypt (Kapuzinergruft) Vienna, 48.2057146, 16.3700245
MAK - Austrian Museum of Applied Arts / Contemporary Art Vienna, 48.2075967, 16.38160330000005
St. Anna's Church Vienna, 48.20439, 16.37210099999993
Neue Burg Vienna, 48.205172, 16.364578800000004
Vienna Woods Vienna, 48.0927289, 15.951823699999977
Haus des Meeres - Aqua Terra Zoo Vienna, 48.1976874, 16.35293260000003
Vienna Pass Vienna, 48.2023309, 16.36978590000001
Spittelberg Christmas Market Vienna, 48.2034852, 16.355288599999994
Volksoper Vienna, 48.22454399999999, 16.35034900000005
Michaelerplatz Vienna, 48.2079944, 16.366517499999986
Gloriette Vienna, 48.178273, 16.30874599999993
Universitat Wien Vienna, 48.21318549999999, 16.360050399999977
Lainzer Tiergarten Vienna, 48.1744954, 16.225893000000042
Schoenbrunn Palace Christmas Market Vienna, 48.1858124, 16.312764000000016
Donaupark Vienna, 48.2395817, 16.412953199999947
Dominican Church Vienna, 48.2087722, 16.379224199999953
Votivkirche Vienna, 48.2154012, 16.359082100000023
Prater Vienna, 48.21489200000001, 16.40188969999997
Kaerntnerstrasse Vienna, 48.2044544, 16.370636800000057
Maria Theresia Denkmal Vienna, 48.2044347, 16.36065910000002
Hundertwasserhaus Vienna, 48.207337, 16.394294100000025
Stadtpark Vienna, 48.2047335, 16.379660100000024
Danube Tower Vienna, 48.24034469999999, 16.40987389999998
Haus der Musik Vienna, 48.2038358, 16.3730233
Burggarten Vienna, 48.2043329, 16.365782699999954
Judenplatz Holocaust Memorial Vienna, 48.2116765, 16.369494300000042
Sisi Museum Vienna, 48.2076579, 16.36605380000003
Augustinerkirche Vienna, 48.2054988, 16.367769100000032
Plague Column (Pestsaule) Vienna, 48.2087183, 16.369794700000057
Mariahilfer Strasse Vienna, 48.1957991, 16.33915920000004
Karlsplatz Vienna, 48.2004387, 16.37054790000002
City Airport Train Vienna, 48.2065822, 16.384853199999952
Wien Hauptbahnhof Sud Vienna, 48.1852227, 16.376484699999992
Academy of Fine Arts (Akademie der bildenden Kunste) Vienna, 48.2012533, 16.36510290000001
Kaiserappartements Vienna, 48.2076579, 16.36605380000003
Burgtheater Vienna, 48.21029619999999, 16.361459999999965
Strauss Monument Vienna, 48.203835, 16.37914610000007
Hofmobiliendepot (Imperial Furniture Collection) Vienna, 48.1987013, 16.347005399999944
Botanischer Garten (Botanical Garden of the University of Vienna) Vienna, 48.1938757, 16.383788299999992
St. Michael's Church Vienna, 48.20807929999999, 16.367088100000046
The Strudelshow Vienna, 48.18551069999999, 16.313850000000002
Griechenkirche zur heiligen Dreifaltigkeit Vienna, 48.210692, 16.37738509999997
Soviet War Memorial Vienna, 48.1981148, 16.376270100000056
Museum of Illusions Vienna, 48.2096041, 16.36697849999996
Heldenplatz Vienna, 48.2057815, 16.362898900000005
Spittelberg Quarter Vienna, 48.2041557, 16.35717520000003
